Feature,Mean_Signed,Std_MeanAcrossFolds,Impact_Magnitude,Impact_Direction,Fold_Level_Impact,Sample_Level_Impact
OG0003884,-0.005283417,0.038486287,0.005283417,Negative,0.0272139273583889,0.07661889493465424
OG0003689,0.0029786162,0.0042123995,0.0029786162,Positive,0.0029786184895783663,0.030645130202174187
OG0003754,0.0023174207,0.016026802,0.0023174207,Positive,0.011332651600241661,0.10540127754211426
OG0005169,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003866,0.0017620589,0.0024919277,0.0017620589,Positive,0.0017620595172047615,0.024155745282769203
OG0003735,0.002332009,0.0038425648,0.002332009,Positive,0.0027171007823199034,0.04957220330834389
OG0003447,-0.006247906,0.013066223,0.006247906,Negative,0.009239204227924347,0.035532157868146896
OG0003809,-0.006924587,0.004459788,0.006924587,Negative,0.006924576126039028,0.05057266354560852
OG0004044,-0.007814033,0.02414847,0.007814033,Negative,0.0170755498111248,0.06819386780261993
OG0004059,-0.016991138,0.0005429344,0.016991138,Negative,0.016991160809993744,0.07671788334846497
OG0000470,-0.030947667,0.01623522,0.030947667,Negative,0.03094765916466713,0.16847530007362366
OG0000029,0.00035902346,0.0075359363,0.00035902346,Positive,0.005328721832484007,0.014996021054685116
OG0003597,-0.040513117,0.023782745,0.040513117,Negative,0.040513139218091965,0.12736938893795013
OG0003736,-0.0010144443,0.0014346408,0.0010144443,Negative,0.0010144435800611973,0.008339484222233295
OG0000747,0.00017703464,0.005994652,0.00017703464,Positive,0.004238859750330448,0.07059971243143082
OG0003775,-0.004088774,0.0042904676,0.004088774,Negative,0.00408877432346344,0.024230118840932846
OG0003927,-0.01986039,0.028086834,0.01986039,Negative,0.0198604017496109,0.08678468316793442
OG0004357,-0.018396841,0.016629754,0.018396841,Negative,0.018396852537989616,0.08639120310544968
OG0003845,0.0066044913,0.009113346,0.0066044913,Positive,0.006604484748095274,0.027520056813955307
OG0004263,-0.0057857633,0.006115425,0.0057857633,Negative,0.0057857586070895195,0.03969399631023407
OG0012574,0.0,0.0,0.0,Neutral,0.0,0.0
OG0000468,-0.0011231388,0.0008651776,0.0011231388,Negative,0.0011231389362365007,0.09903477877378464
OG0000102,-0.03138678,0.037810672,0.03138678,Negative,0.03138677775859833,0.09122400730848312
OG0003839,0.013908485,0.011439384,0.013908485,Positive,0.013908491469919682,0.0527678057551384
OG0004162,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004232,-0.0060742716,0.008590317,0.0060742716,Negative,0.006074267439544201,0.034612026065588
OG0003790,0.0027689473,0.0039158827,0.0027689473,Positive,0.002768946811556816,0.02143966779112816
OG0003460,-0.04380571,0.00938143,0.04380571,Negative,0.04380570352077484,0.14384011924266815
OG0003663,-0.005426977,0.010514393,0.005426977,Negative,0.007434798404574394,0.07935087382793427
OG0005613,0.0,0.0,0.0,Neutral,0.0,0.0
OG0004070,-0.01305666,0.013927331,0.01305666,Negative,0.013056658208370209,0.10585703700780869
OG0004223,-0.00040435873,0.003274745,0.00040435873,Negative,0.0023155983071774244,0.013042045757174492
OG0003915,0.008438945,0.026824644,0.008438945,Positive,0.0189678817987442,0.20650345087051392
OG0003864,-0.005506292,0.007787073,0.005506292,Negative,0.005506289191544056,0.012784023769199848
OG0005497,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003793,-0.0073072207,0.01033397,0.0073072207,Negative,0.0073072342202067375,0.013822250999510288
OG0004481,-0.007889725,0.003941301,0.007889725,Negative,0.00788972433656454,0.04518095403909683
OG0004056,0.00047041482,0.00261129,0.00047041482,Positive,0.0018464588792994618,0.013986822217702866
OG0003788,0.0018610018,0.019336922,0.0018610018,Positive,0.01367328129708767,0.06224748492240906
OG0005636,0.0,0.0,0.0,Neutral,0.0,0.0
OG0003673,0.0056247334,0.0065288525,0.0056247334,Positive,0.005624737124890089,0.024818215519189835
OG0003824,-0.003539776,0.0020659377,0.003539776,Negative,0.00353977526538074,0.028878094628453255
OG0005641,0.0,0.0,0.0,Neutral,0.0,0.0
